video_id,filename,file_path,label,split,status,num_frames,num_features
jQb9NL9_S6U,jQb9NL9_S6U_LASL - Ch. 6 Vocab.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/happy_jQb9NL9_S6U.pt,happy,train,success,76,1629
_HOx2QkkTsg,_HOx2QkkTsg_teacher - ASL sign for teacher.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/teacher__HOx2QkkTsg.pt,teacher,train,success,46,1629
_HOx2QkkTsg,_HOx2QkkTsg_teacher - ASL sign for teacher.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/teacher__HOx2QkkTsg.pt,teacher,train,skipped (already processed),,
htsdwxJ-fTo,htsdwxJ-fTo.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/like_htsdwxJ-fTo.pt,like,train,success,78,1629
htsdwxJ-fTo,htsdwxJ-fTo_Basic ASL Vocabulary for Babies.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/sister_htsdwxJ-fTo.pt,sister,train,success,55,1629
bCVQXygujmo,bCVQXygujmo_Happy.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/happy_bCVQXygujmo.pt,happy,train,success,120,1629
K8c-np9zNT8,K8c-np9zNT8_Mastering ASL Unit 3 Vocabulary signed by Dr. Wooten.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/white_K8c-np9zNT8.pt,white,train,success,128,1629
K8c-np9zNT8,K8c-np9zNT8_Mastering ASL Unit 3 Vocabulary signed by Dr. Wooten.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/white_K8c-np9zNT8.pt,white,train,skipped (already processed),,
v8h6mw4zGys,v8h6mw4zGys.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/white_v8h6mw4zGys.pt,white,train,success,91,1629
c2W6TVd_xh4,c2W6TVd_xh4.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/like_c2W6TVd_xh4.pt,like,train,success,135,1629
uLjkLwFvFtw,uLjkLwFvFtw_white.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/white_uLjkLwFvFtw.pt,white,train,success,61,1629
pkzfT9cYvH0,pkzfT9cYvH0_NO-[opposite-of-yes].mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/no_pkzfT9cYvH0.pt,no,train,success,91,1629
mC0lNJ6iz-s,mC0lNJ6iz-s_ASL 1： Unit 5 Vocabulary.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/nice_mC0lNJ6iz-s.pt,nice,train,success,149,1629
RWYus9H4YrQ,RWYus9H4YrQ_Mastering ASL Unit 7 Vocabulary.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/nice_RWYus9H4YrQ.pt,nice,train,success,72,1629
RWYus9H4YrQ,RWYus9H4YrQ_Mastering ASL Unit 7 Vocabulary.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/nice_RWYus9H4YrQ.pt,nice,train,skipped (already processed),,
1Cpk9lgwvuo,1Cpk9lgwvuo_ASL： Boy ילד.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/boy_1Cpk9lgwvuo.pt,boy,train,success,149,1629
3aXS3keR8oY,3aXS3keR8oY.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/nice_3aXS3keR8oY.pt,nice,train,success,94,1629
glJmYf137OM,glJmYf137OM.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/sister_glJmYf137OM.pt,sister,train,success,91,1629
cqyB9f32GuI,cqyB9f32GuI_Teacher.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/teacher_cqyB9f32GuI.pt,teacher,train,success,139,1629
q8FmbxAC2VA,q8FmbxAC2VA_How to sign Happy - ASL Vocabulary Series.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/happy_q8FmbxAC2VA.pt,happy,train,success,70,1629
_NqL43yWhUk,_NqL43yWhUk.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/teacher__NqL43yWhUk.pt,teacher,train,success,88,1629
sErq0TJMKEo,sErq0TJMKEo_Unit 10 Vocabulary.mp4,/content/drive/MyDrive/sign2speech/processed/keypoints/train/what_sErq0TJMKEo.pt,what,train,success,135,1629
