Video ID: 7y5Ye-2-ZBs, Gloss: like
Video ID: 0FYsztUQnUM, Gloss: white
Video ID: knQUZvK_ceg, Gloss: big
Video ID: PpeviLqqBtk, Gloss: what
Video ID: PpeviLqqBtk, Gloss: what
Video ID: Cgh1DXAQBuI, Gloss: hello
Video ID: Cgh1DXAQBuI, Gloss: no
Video ID: Cgh1DXAQBuI, Gloss: big
Video ID: Cgh1DXAQBuI, Gloss: big
Video ID: Cgh1DXAQBuI, Gloss: big
Video ID: Cgh1DXAQBuI, Gloss: big
Video ID: 7YYB3BEoksc, Gloss: hello
Video ID: 7YYB3BEoksc, Gloss: hello
Video ID: 7YYB3BEoksc, Gloss: hello
Video ID: 7YYB3BEoksc, Gloss: happy
Video ID: 7YYB3BEoksc, Gloss: happy
Video ID: 7YYB3BEoksc, Gloss: happy
Video ID: 7YYB3BEoksc, Gloss: happy
Video ID: 7YYB3BEoksc, Gloss: friend
Video ID: 7YYB3BEoksc, Gloss: nice
Video ID: 7YYB3BEoksc, Gloss: nice
Video ID: 7YYB3BEoksc, Gloss: nice
Video ID: 7YYB3BEoksc, Gloss: nice
Video ID: 7YYB3BEoksc, Gloss: like
Video ID: 7YYB3BEoksc, Gloss: like
Video ID: 7YYB3BEoksc, Gloss: like
Video ID: 7YYB3BEoksc, Gloss: what
Video ID: 7YYB3BEoksc, Gloss: white
Video ID: 7YYB3BEoksc, Gloss: white
Video ID: 7YYB3BEoksc, Gloss: white
Video ID: 7YYB3BEoksc, Gloss: white
Video ID: 7YYB3BEoksc, Gloss: white
Video ID: 73icFhednQU, Gloss: teacher
Video ID: eXpXg4q-qEQ, Gloss: boy
Video ID: eXpXg4q-qEQ, Gloss: good
Video ID: eXpXg4q-qEQ, Gloss: good
Video ID: eXpXg4q-qEQ, Gloss: good
Video ID: eXpXg4q-qEQ, Gloss: what
Video ID: xfVNJxKWqeg, Gloss: nice
Video ID: xfVNJxKWqeg, Gloss: teacher
Video ID: xfVNJxKWqeg, Gloss: teacher
Video ID: xfVNJxKWqeg, Gloss: teacher
Video ID: TUQUVlMupcs, Gloss: nice
Video ID: Kh8PEWtOZ6k, Gloss: white
Video ID: Kh8PEWtOZ6k, Gloss: white
Video ID: Zh9LNvbksnI, Gloss: teacher
Video ID: Zh9LNvbksnI, Gloss: teacher
Video ID: D7UYn37qTkU, Gloss: friend
Video ID: D7UYn37qTkU, Gloss: good
Video ID: D7UYn37qTkU, Gloss: happy
Video ID: D7UYn37qTkU, Gloss: happy
Video ID: D7UYn37qTkU, Gloss: hello
Video ID: WbkSmhKTltU, Gloss: hello
Video ID: XEdsQNNyp-E, Gloss: like
Video ID: XEdsQNNyp-E, Gloss: happy
Video ID: 9jUuFHB2m4M, Gloss: hello
Video ID: 9jUuFHB2m4M, Gloss: hello
Video ID: lSxAVvE9sPc, Gloss: no
Video ID: lSxAVvE9sPc, Gloss: no
Video ID: lSxAVvE9sPc, Gloss: no
Video ID: lSxAVvE9sPc, Gloss: no
Video ID: 1GRoj_OFF9w, Gloss: friend
Video ID: uPWzbFvXcuw, Gloss: what
Video ID: lL0HRAGzUHg, Gloss: friend
Video ID: MJ2M6JSt1Ks, Gloss: big
Video ID: MJ2M6JSt1Ks, Gloss: big
Video ID: cdl5N710d28, Gloss: teacher
Video ID: cdl5N710d28, Gloss: teacher
Video ID: TnJQtTYVTtg, Gloss: go
Video ID: TnJQtTYVTtg, Gloss: like
Video ID: TnJQtTYVTtg, Gloss: teacher
Video ID: TnJQtTYVTtg, Gloss: white
Video ID: TnJQtTYVTtg, Gloss: no
Video ID: TnJQtTYVTtg, Gloss: what
Video ID: i7-IftrdNRs, Gloss: nice
Video ID: O6kRtPwP-5I, Gloss: boy
Video ID: 25OsRZMSydI, Gloss: friend
Video ID: dbzKXsyAcvY, Gloss: hello
Video ID: dbzKXsyAcvY, Gloss: what
Video ID: dbzKXsyAcvY, Gloss: teacher
Video ID: dbzKXsyAcvY, Gloss: white
Video ID: iMUjcZCLaGo, Gloss: friend
Video ID: iMUjcZCLaGo, Gloss: go
Video ID: iMUjcZCLaGo, Gloss: go
Video ID: iMUjcZCLaGo, Gloss: go
Video ID: iMUjcZCLaGo, Gloss: good
Video ID: iMUjcZCLaGo, Gloss: happy
Video ID: iMUjcZCLaGo, Gloss: like
Video ID: iMUjcZCLaGo, Gloss: what
Video ID: e1q4pwMRTEc, Gloss: nice
Video ID: hEOcz-FHs4U, Gloss: no
Video ID: hEOcz-FHs4U, Gloss: no
Video ID: ElL1zlHxo-0, Gloss: friend
Video ID: C0_S2q-aw5s, Gloss: white
Video ID: mfMWVGOJDCs, Gloss: sister
Video ID: ZrGbJG6okbk, Gloss: friend
Video ID: wRoGQu75wzw, Gloss: hello
Video ID: wRoGQu75wzw, Gloss: hello
Video ID: wRoGQu75wzw, Gloss: what
Video ID: wRoGQu75wzw, Gloss: what
Video ID: 0v4R-uMJZTc, Gloss: what
Video ID: sP4UqX7_wqw, Gloss: go
Video ID: wOLHCqo_I4Y, Gloss: what
Video ID: 4M6Y4QgvO2k, Gloss: sister
Video ID: 4M6Y4QgvO2k, Gloss: sister
Video ID: 1RjPFNyJ4Tw, Gloss: white
Video ID: 1RjPFNyJ4Tw, Gloss: sister
Video ID: 1RjPFNyJ4Tw, Gloss: what
Video ID: 1RjPFNyJ4Tw, Gloss: boy
Video ID: OY1KL0vbBIo, Gloss: beautiful
Video ID: OY1KL0vbBIo, Gloss: boy
Video ID: OY1KL0vbBIo, Gloss: friend
Video ID: OY1KL0vbBIo, Gloss: nice
Video ID: OY1KL0vbBIo, Gloss: sister
Video ID: 9ko47J797_U, Gloss: good
Video ID: tUJgkaaix2w, Gloss: nice
Video ID: tUJgkaaix2w, Gloss: big
Video ID: SdAhWTmIZ3I, Gloss: friend
Video ID: SdAhWTmIZ3I, Gloss: friend
Video ID: g0-WX7prrxo, Gloss: go
Video ID: Clm0Un7EOrE, Gloss: boy
Video ID: d3hz26r_ulw, Gloss: no
Video ID: oDnz2t98VYk, Gloss: like
Video ID: V7WEPn3RJsc, Gloss: no
Video ID: V7WEPn3RJsc, Gloss: no
Video ID: V7WEPn3RJsc, Gloss: like
Video ID: V7WEPn3RJsc, Gloss: no
Video ID: yhBt5YS_2L4, Gloss: teacher
Video ID: _yqDuSdl28Q, Gloss: teacher
Video ID: lgNwgl10VSg, Gloss: no
Video ID: sWboPmr8l_k, Gloss: happy
Video ID: sWboPmr8l_k, Gloss: happy
Video ID: sWboPmr8l_k, Gloss: happy
Video ID: sWboPmr8l_k, Gloss: like
Video ID: sWboPmr8l_k, Gloss: like
Video ID: sWboPmr8l_k, Gloss: like
Video ID: xaHll2DRUkg, Gloss: like
Video ID: M1gXuGSWqVI, Gloss: what
Video ID: 3TyhGI2gmJE, Gloss: boy
Video ID: 96HY0Pcl_e4, Gloss: happy
Video ID: 0e8jwNFLfhw, Gloss: good
Video ID: 0e8jwNFLfhw, Gloss: good
Video ID: 0e8jwNFLfhw, Gloss: beautiful
Video ID: 0e8jwNFLfhw, Gloss: nice
Video ID: 0e8jwNFLfhw, Gloss: nice
Video ID: dOvLoArLzcw, Gloss: nice
Video ID: uGyCr26CN44, Gloss: white
Video ID: WHPAZyGhilQ, Gloss: nice
Video ID: ooqEI4Fp3kU, Gloss: beautiful
Video ID: hwa_U71nr74, Gloss: no
Video ID: vkjQHTjhcD4, Gloss: good
Video ID: vkjQHTjhcD4, Gloss: like
Video ID: 4-48N-I-rNA, Gloss: good
Video ID: 4-48N-I-rNA, Gloss: good
Video ID: a6O9GUBpc3c, Gloss: beautiful
Video ID: a6O9GUBpc3c, Gloss: good
Video ID: fbSkLYhi7OE, Gloss: happy
Video ID: 0Bj00OLMsjQ, Gloss: teacher
Video ID: 0Bj00OLMsjQ, Gloss: friend
Video ID: U-0U9-rq47c, Gloss: nice
Video ID: PWGruSSI30c, Gloss: white
Video ID: x28Kk_NjEGU, Gloss: good
Video ID: x28Kk_NjEGU, Gloss: boy
Video ID: IgsMkNFA5DM, Gloss: boy
Video ID: 6x454ncqWFg, Gloss: good
Video ID: 6x454ncqWFg, Gloss: happy
Video ID: 6x454ncqWFg, Gloss: nice
Video ID: WmTNL-wFK14, Gloss: boy
Video ID: wS0R-2JXkds, Gloss: like
Video ID: WdFPBiAUm2k, Gloss: go
Video ID: Pj7ONpWo7sg, Gloss: nice
Video ID: pD4QabDQr6M, Gloss: hello
Video ID: pD4QabDQr6M, Gloss: no
Video ID: pD4QabDQr6M, Gloss: no
Video ID: xq5Enus558k, Gloss: big
Video ID: si01coqVYiA, Gloss: nice
Video ID: -OCW9K2ZzVY, Gloss: big
Video ID: wHqpX1hAeZc, Gloss: beautiful
Video ID: CzWUUhk6mMI, Gloss: teacher
Video ID: CzWUUhk6mMI, Gloss: like
Video ID: P2ifb9bxSNE, Gloss: good
Video ID: S_LEeTt2McM, Gloss: what
Video ID: S_LEeTt2McM, Gloss: go
